Attack: ARP

Sampling Rate,NS_Recall,NS_Precision,NS_F1,NS_Accuracy,NS_TP,NS_FP,NS_FN,NS_TN,WD_Recall,WD_Precision,WD_F1,WD_Accuracy,WD_TP,WD_FP,WD_FN,WD_TN
2.5e-06,0.00000240,0.52972222,0.00000479,0.53240227,2.74333333,2.42666667,1145269.25666667,1303992.57333333,0.41523047,0.49068795,0.44466138,0.52507801,475551.83000000,493490.57666667,669720.17000000,810504.42333333
5e-06,0.00000507,0.56827718,0.00001013,0.53240269,5.80333333,4.45333333,1145266.19666667,1303990.54666667,0.65539786,0.49056087,0.55689930,0.52057753,750608.81666667,779570.46000000,394663.18333333,524424.54000000
1e-05,0.00000971,0.54115850,0.00001942,0.53240284,11.12000000,9.40666667,1145260.88000000,1303985.59333333,0.88118878,0.49044845,0.62862447,0.51630982,1009200.83333333,1048615.23666667,136071.16666667,255379.76333333
2.5e-05,0.00002534,0.55727161,0.00005069,0.53240459,29.02666667,23.04000000,1145242.97333333,1303971.96000000,0.99470728,0.48880582,0.65540459,0.51088108,1139210.39333333,1191921.22333333,6061.60666667,112073.77666667
5e-05,0.00004958,0.54450666,0.00009915,0.53240593,56.78000000,47.51666667,1145215.22000000,1303947.48333333,0.99876391,0.48720357,0.65487872,0.50753092,1143856.33666667,1204772.60333333,1415.66333333,99222.39666667
0.0001,0.00010010,0.54961744,0.00020016,0.53241060,114.64000000,93.93666667,1145157.36000000,1303901.06333333,0.99877796,0.48388868,0.65185699,0.50080584,1143872.42666667,1221260.20333333,1399.57333333,82734.79666667
0.00025,0.00024837,0.54483877,0.00049652,0.53242126,284.45666667,237.62666667,1144987.54333333,1303757.37333333,0.99880409,0.47579752,0.64447963,0.48439145,1143902.36000000,1261493.35666667,1369.64000000,42501.64333333
0.0005,0.00050043,0.54783255,0.00099995,0.53244302,573.13000000,473.02333333,1144698.87000000,1303521.97666667,0.99883851,0.47079849,0.63992546,0.47424999,1143941.77666667,1286371.93333333,1330.22333333,17623.06666667
0.001,0.00099825,0.54667488,0.00199286,0.53248184,1143.27000000,948.07333333,1144128.73000000,1303046.92666667,0.99893256,0.46859661,0.63793593,0.46978082,1144049.48666667,1297425.83000000,1222.51333333,6569.17000000
0.0025,0.00250047,0.54741015,0.00497820,0.53260467,2863.71666667,2367.66333333,1142408.28333333,1301627.33666667,0.99910346,0.46854217,0.63792252,0.46966958,1144245.21333333,1297894.02000000,1026.78666667,6100.98000000
0.005,0.00499593,0.54690195,0.00990142,0.53280284,5721.70333333,4740.29666667,1139550.29666667,1299254.70333333,0.99930470,0.46870756,0.63811683,0.47000886,1144475.68666667,1297293.50333333,796.31333333,6701.49666667
0.01,0.00999903,0.54707997,0.01963912,0.53320687,11451.61333333,9480.62333333,1133820.38666667,1294514.37666667,0.99950028,0.46903828,0.63846317,0.47069973,1144699.68000000,1295825.37333333,572.32000000,8169.62666667
0.025,0.02500386,0.54732472,0.04782297,0.53442402,28636.21666667,23684.09333333,1116635.78333333,1280310.90666667,0.99962795,0.47003306,0.63941029,0.47280096,1144845.90666667,1290825.12000000,426.09333333,13169.88000000
0.05,0.04997977,0.54701870,0.09159108,0.53641974,57240.43666667,47400.28000000,1088031.56333333,1256594.72000000,0.99970365,0.47171823,0.64098331,0.47634929,1144932.59333333,1282220.99000000,339.40666667,21774.01000000
0.1,0.09995818,0.54715131,0.16903553,0.54045792,114479.31000000,94748.56666667,1030792.69000000,1209246.43333333,0.99978739,0.47514076,0.64415306,0.48348334,1145028.50666667,1264843.72333333,243.49333333,39151.27666667
0.25,0.24992358,0.54713997,0.34311736,0.55253941,286230.47333333,236908.92000000,859041.52666667,1067086.08000000,0.99987352,0.48576980,0.65386940,0.50500985,1145127.14666667,1212218.18000000,144.85333333,91776.82000000
0.5,0.49990960,0.54718998,0.52248234,0.57272077,572532.46666667,473781.39333333,572739.53333333,830213.60666667,0.99986759,0.50463677,0.67074575,0.54099388,1145120.35000000,1124076.88333333,151.65000000,179918.11666667
1,0.99978258,0.54717118,0.70726382,0.61300708,1145023.00000000,947600.00000000,249.00000000,356395.00000000,0.99978258,0.54717118,0.70726382,0.61300708,1145023.00000000,947600.00000000,249.00000000,356395.00000000
