Attack: Mirai

Sampling Rate,NS_Recall,NS_Precision,NS_F1,NS_Accuracy,NS_TP,NS_FP,NS_FN,NS_TN,WD_Recall,WD_Precision,WD_F1,WD_Accuracy,WD_TP,WD_FP,WD_FN,WD_TN
2.5e-06,0.00000122,0.78666667,0.00000245,0.09394769,0.78666667,0.00333333,642515.21333333,66620.99666667,0.00284150,0.78640022,0.00566226,0.09649694,1825.70666667,17.15333333,640690.29333333,66603.84666667
5e-06,0.00000381,0.99666667,0.00000762,0.09395004,2.44666667,0.00000000,642513.55333333,66621.00000000,0.00869560,0.99428392,0.01722876,0.10179786,5587.06333333,19.43666667,636928.93666667,66601.56333333
1e-05,0.00000885,1.00000000,0.00001769,0.09395460,5.68333333,0.00000000,642510.31666667,66621.00000000,0.02017413,0.99463568,0.03951801,0.11210613,12962.20333333,84.60000000,629553.79666667,66536.40000000
2.5e-05,0.00002110,0.99976190,0.00004220,0.09396570,13.55666667,0.00333333,642502.44333333,66620.99666667,0.04755554,0.99571677,0.09070542,0.13683614,30555.19333333,140.62666667,611960.80666667,66480.37333333
5e-05,0.00004366,0.99953411,0.00008732,0.09398613,28.05333333,0.01333333,642487.94666667,66620.98666667,0.09454869,0.99521477,0.17256229,0.17918508,60749.04666667,303.27666667,581766.95333333,66317.72333333
0.0001,0.00008646,0.99983184,0.00017290,0.09402491,55.55000000,0.01000000,642460.45000000,66620.99000000,0.18036216,0.99504609,0.30518329,0.25653348,115885.57333333,589.19333333,526630.42666667,66031.80666667
0.00025,0.00022022,0.99983058,0.00044035,0.09414609,141.49666667,0.02333333,642374.50333333,66620.97666667,0.38468884,0.99468903,0.55453065,0.44062612,247168.73333333,1325.44666667,395347.26666667,65295.55333333
0.0005,0.00044012,0.99988354,0.00087985,0.09434531,282.78333333,0.03333333,642233.21666667,66620.96666667,0.60316946,0.99459742,0.75073407,0.63747610,387546.03000000,2109.14333333,254969.97000000,64511.85666667
0.001,0.00088163,0.99977574,0.00176171,0.09474521,566.46333333,0.12666667,641949.53666667,66620.87333333,0.78844618,0.99506756,0.87970942,0.80477832,506589.28333333,2512.20333333,135926.71666667,64108.79666667
0.0025,0.00220268,0.99981897,0.00439568,0.09594197,1415.26000000,0.25666667,641100.74000000,66620.74333333,0.87275716,0.99501743,0.92988341,0.88075141,560760.43666667,2808.02333333,81755.56333333,63812.97666667
0.005,0.00440786,0.99976821,0.00877703,0.09793942,2832.12333333,0.65666667,639683.87666667,66620.34333333,0.87585930,0.99497616,0.93162551,0.88351492,562753.61666667,2841.49666667,79762.38333333,63779.50333333
0.01,0.00881269,0.99979352,0.01747137,0.10192970,5662.29333333,1.17000000,636853.70666667,66619.83000000,0.87657186,0.99486398,0.93197926,0.88406724,563211.44333333,2907.65000000,79304.55666667,63713.35000000
0.025,0.02203851,0.99980064,0.04312638,0.11391067,14160.09666667,2.82333333,628355.90333333,66618.17666667,0.87744902,0.99477514,0.93243575,0.88478651,563775.03333333,2961.18000000,78740.96666667,63659.82000000
0.05,0.04407599,0.99980523,0.08442990,0.13387401,28319.53000000,5.51666667,614196.47000000,66615.48333333,0.87813031,0.99476571,0.93281608,0.88539289,564212.77333333,2968.91333333,78303.22666667,63652.08666667
0.1,0.08815543,0.99980259,0.16202464,0.17380434,56641.27333333,11.18333333,585874.72666667,66609.81666667,0.87888897,0.99484295,0.93327787,0.88613871,564700.22666667,2927.48000000,77815.77333333,63693.52000000
0.25,0.22036429,0.99980137,0.36113208,0.29356873,141587.58000000,28.13000000,500928.42000000,66592.87000000,0.88004807,0.99535754,0.93415767,0.88759783,565444.96333333,2637.50333333,77071.03666667,63983.49666667
0.5,0.44075518,0.99980354,0.61180228,0.49321585,283192.25666667,55.64666667,359323.74333333,66565.35333333,0.88101376,0.99654839,0.93522634,0.88942726,566065.43666667,1960.66000000,76450.56333333,64660.34000000
1,0.88149867,0.99980229,0.93693078,0.89247353,566377.00000000,112.00000000,76139.00000000,66509.00000000,0.88149867,0.99980229,0.93693078,0.89247353,566377.00000000,112.00000000,76139.00000000,66509.00000000
