Attack: ARPMiTM

Sampling Rate,NS_Recall,NS_Precision,NS_F1,NS_Accuracy,NS_TP,NS_FP,NS_FN,NS_TN,WD_Recall,WD_Precision,WD_F1,WD_Accuracy,WD_TP,WD_FP,WD_FN,WD_TN
2.5e-06,0.00000262,0.53114713,0.00000524,0.53240237,3.00333333,2.45000000,1145268.99666667,1303992.55000000,0.40075161,0.48987954,0.42496611,0.52593557,458969.59666667,474807.97000000,686302.40333333,829187.03000000
5e-06,0.00000525,0.55150016,0.00001050,0.53240266,6.01333333,4.74666667,1145265.98666667,1303990.25333333,0.63339304,0.49031981,0.54441500,0.52062075,725407.31666667,754263.09333333,419864.68333333,549731.90666667
1e-05,0.00000999,0.54520011,0.00001999,0.53240291,11.44666667,9.56333333,1145260.55333333,1303985.43666667,0.86833549,0.48940985,0.62385859,0.51463875,994480.32666667,1037987.61333333,150791.67333333,266007.38666667
2.5e-05,0.00002500,0.54475662,0.00005000,0.53240407,28.63333333,23.91666667,1145243.36666667,1303971.08333333,0.99117900,0.48857525,0.65436138,0.51046844,1135169.55666667,1188891.05000000,10102.44333333,115103.95000000
5e-05,0.00005037,0.55093106,0.00010074,0.53240653,57.69000000,46.95333333,1145214.31000000,1303948.04666667,0.99876597,0.48697231,0.65466813,0.50706169,1143858.69666667,1205924.24333333,1413.30333333,98070.75666667
0.0001,0.00010113,0.55057405,0.00020223,0.53241084,115.82333333,94.53333333,1145156.17666667,1303900.46666667,0.99877486,0.48373485,0.65171596,0.50049383,1143868.88000000,1222020.85333333,1403.12000000,81974.14666667
0.00025,0.00024932,0.54731605,0.00049841,0.53242230,285.54000000,236.16000000,1144986.46000000,1303758.84000000,0.99880311,0.47695434,0.64553495,0.48673809,1143901.23000000,1255744.69666667,1370.77000000,48250.30333333
0.0005,0.00049929,0.54637216,0.00099767,0.53244178,571.82333333,474.74666667,1144700.17666667,1303520.25333333,0.99884139,0.47133910,0.64041932,0.47534644,1143945.08000000,1283689.74000000,1326.92000000,20305.26000000
0.001,0.00100048,0.54720227,0.00199730,0.53248280,1145.81666667,948.25666667,1144126.18333333,1303046.74333333,0.99891203,0.46867287,0.63800131,0.46993664,1144025.98333333,1297020.69000000,1246.01666667,6974.31000000
0.0025,0.00249796,0.54696358,0.00497320,0.53260275,2860.84333333,2369.50000000,1142411.15666667,1301625.50000000,0.99912023,0.46854181,0.63792561,0.46966776,1144264.42333333,1297917.68666667,1007.57666667,6077.31333333
0.005,0.00500120,0.54770442,0.00991188,0.53280949,5727.73000000,4730.03333333,1139544.27000000,1299264.96666667,0.99930513,0.46870966,0.63811886,0.47001328,1144476.19000000,1297283.16666667,795.81000000,6711.83333333
0.01,0.00999594,0.54746353,0.01963338,0.53321259,11448.06666667,9463.07333333,1133823.93333333,1294531.92666667,0.99950565,0.46903642,0.63846254,0.47069543,1144705.83333333,1295842.04666667,566.16666667,8152.95333333
0.025,0.02499118,0.54705222,0.04779871,0.53441232,28621.69666667,23698.23666667,1116650.30333333,1280296.76333333,0.99963073,0.47003273,0.63941055,0.47280009,1144849.08000000,1290830.43333333,422.92000000,13164.56666667
0.05,0.04999722,0.54715775,0.09162226,0.53643196,57260.41333333,47390.31000000,1088011.58666667,1256604.69000000,0.99970416,0.47172028,0.64098531,0.47635356,1144933.18333333,1282211.12000000,338.81666667,21783.88000000
0.1,0.09998892,0.54718534,0.16908101,0.54046573,114514.50666667,94764.64000000,1030757.49333333,1209230.36000000,0.99978906,0.47513824,0.64415109,0.48347804,1145030.42000000,1264858.62000000,241.58000000,39136.38000000
0.25,0.24994452,0.54717696,0.34314429,0.55255554,286254.45666667,236893.41666667,859017.54333333,1067101.58333333,0.99986830,0.48576506,0.65386400,0.50500061,1145121.16666667,1212234.83333333,150.83333333,91760.16666667
0.5,0.49991019,0.54718823,0.52248182,0.57271945,572533.14000000,473785.29333333,572738.86000000,830209.70666667,0.99986822,0.50463817,0.67074712,0.54099645,1145121.07666667,1124071.32666667,150.92333333,179923.67333333
1,0.99978258,0.54717118,0.70726382,0.61300708,1145023.00000000,947600.00000000,249.00000000,356395.00000000,0.99978258,0.54717118,0.70726382,0.61300708,1145023.00000000,947600.00000000,249.00000000,356395.00000000
