Attack: Mirai

Sampling Rate,NS_Recall,NS_Precision,NS_F1,NS_Accuracy,NS_TP,NS_FP,NS_FN,NS_TN,WD_Recall,WD_Precision,WD_F1,WD_Accuracy,WD_TP,WD_FP,WD_FN,WD_TN
2.5e-06,0.00000212,0.73000000,0.00000423,0.09394850,1.36000000,0.00000000,642514.64000000,66621.00000000,0.00487273,0.73624083,0.00966254,0.09832767,3130.80666667,24.02000000,639385.19333333,66596.98000000
5e-06,0.00000435,0.93666667,0.00000869,0.09395052,2.79333333,0.00000000,642513.20666667,66621.00000000,0.00990125,0.92852843,0.01954045,0.10284116,6361.71333333,54.24333333,636154.28666667,66566.75666667
1e-05,0.00000858,1.00000000,0.00001716,0.09395436,5.51333333,0.00000000,642510.48666667,66621.00000000,0.02162319,0.99162864,0.04218477,0.11342105,13893.24666667,83.18000000,628622.75333333,66537.82000000
2.5e-05,0.00002201,0.99932692,0.00004402,0.09396652,14.14333333,0.00666667,642501.85666667,66620.99333333,0.04863826,0.99614383,0.09247430,0.13782779,31250.86333333,133.07666667,611265.13666667,66487.92333333
5e-05,0.00004484,0.99962454,0.00008968,0.09398720,28.81333333,0.01000000,642487.18666667,66620.99000000,0.09578099,0.99486437,0.17425230,0.18025766,61540.82000000,334.44333333,580975.18000000,66286.55666667
0.0001,0.00008873,0.99994949,0.00017745,0.09402698,57.01333333,0.00333333,642458.98666667,66620.99666667,0.18173247,0.99407894,0.30668096,0.25762484,116766.02000000,695.71333333,525749.98000000,65925.28666667
0.00025,0.00021963,0.99986827,0.00043916,0.09414555,141.11333333,0.02000000,642374.88666667,66620.98000000,0.38596852,0.99464036,0.55552217,0.44176222,247990.94666667,1342.01000000,394525.05333333,65278.99000000
0.0005,0.00044214,0.99982518,0.00088388,0.09434711,284.08000000,0.05000000,642231.92000000,66620.95000000,0.60336700,0.99477702,0.75080266,0.63775380,387672.95000000,2039.13333333,254843.05000000,64581.86666667
0.001,0.00088133,0.99983045,0.00176111,0.09474498,566.27000000,0.09666667,641949.73000000,66620.90333333,0.78910027,0.99503367,0.88009183,0.80534246,507009.55000000,2532.41666667,135506.45000000,64088.58333333
0.0025,0.00219840,0.99977889,0.00438714,0.09593801,1412.50666667,0.31333333,641103.49333333,66620.68666667,0.87282758,0.99504219,0.92993419,0.88083466,560805.68666667,2794.23666667,81710.31333333,63826.76333333
0.005,0.00440843,0.99979548,0.00877815,0.09794005,2832.49000000,0.58000000,639683.51000000,66620.42000000,0.87604145,0.99496860,0.93172525,0.88367307,562870.65000000,2846.38000000,79645.35000000,63774.62000000
0.01,0.00881933,0.99977536,0.01748440,0.10193557,5666.56000000,1.27333333,636849.44000000,66619.72666667,0.87684942,0.99487462,0.93214076,0.88432597,563389.78333333,2902.51666667,79126.21666667,63718.48333333
0.025,0.02203568,0.99977045,0.04312088,0.11390751,14158.27666667,3.25000000,628357.72333333,66617.75000000,0.87780173,0.99476682,0.93263123,0.88509773,564001.65666667,2967.10666667,78514.34333333,63653.89333333
0.05,0.04408173,0.99978150,0.08444026,0.13387826,28323.22000000,6.19000000,614192.78000000,66614.81000000,0.87843432,0.99475604,0.93298334,0.88565912,564408.10333333,2975.45000000,78107.89666667,63645.55000000
0.1,0.08815154,0.99977543,0.16201755,0.17379865,56638.77666667,12.72333333,585877.22333333,66608.27666667,0.87903299,0.99488212,0.93337635,0.88630010,564792.76333333,2905.56666667,77723.23666667,63715.43333333
0.25,0.22037169,0.99977370,0.36113997,0.29356991,141592.33666667,32.05000000,500923.66333333,66588.95000000,0.88007010,0.99542685,0.93420067,0.88767358,565459.12333333,2597.94666667,77056.87666667,64023.05333333
0.5,0.44082057,0.99977776,0.61186028,0.49326479,283234.27000000,62.96000000,359281.73000000,66558.04000000,0.88092843,0.99672811,0.93525741,0.88949466,566010.61000000,1858.03333333,76505.39000000,64762.96666667
1,0.88163875,0.99977585,0.93699829,0.89257929,566467.00000000,127.00000000,76049.00000000,66494.00000000,0.88163875,0.99977585,0.93699829,0.89257929,566467.00000000,127.00000000,76049.00000000,66494.00000000
