Attack: SYN

Sampling Rate,NS_Recall,NS_Precision,NS_F1,NS_Accuracy,NS_TP,NS_FP,NS_FN,NS_TN,WD_Recall,WD_Precision,WD_F1,WD_Accuracy,WD_TP,WD_FP,WD_FN,WD_TN
2.5e-06,0.00000000,0.00000000,0.00000000,0.99740892,0.00000000,0.07666667,7038.00000000,2709237.92333333,0.01006346,0.00012564,0.00024818,0.98774338,70.82666667,26325.18000000,6967.17333333,2682912.82000000
5e-06,0.00000000,0.00000000,0.00000000,0.99740890,0.00000000,0.15000000,7038.00000000,2709237.85000000,0.03018992,0.00036664,0.00072440,0.97580740,212.47666667,58888.26000000,6825.52333333,2650349.74000000
1e-05,0.00000000,0.00000000,0.00000000,0.99740883,0.00000000,0.33333333,7038.00000000,2709237.66666667,0.06037984,0.00069508,0.00137377,0.95257053,424.95333333,122218.48333333,6613.04666667,2587019.51666667
2.5e-05,0.00000000,0.00000000,0.00000000,0.99740865,0.00000000,0.81666667,7038.00000000,2709237.18333333,0.10566449,0.00109596,0.00216811,0.90630687,743.66666667,248202.06333333,6294.33333333,2461035.93666667
5e-05,0.00000000,0.00000000,0.00000000,0.99740839,0.00000000,1.52333333,7038.00000000,2709236.47666667,0.19371507,0.00166075,0.00328982,0.81992914,1363.36666667,483447.52333333,5674.63333333,2225790.47666667
0.0001,0.00000000,0.00000000,0.00000000,0.99740775,0.00000000,3.26000000,7038.00000000,2709234.74000000,0.36979161,0.00247814,0.00491932,0.67564541,2602.59333333,876601.18000000,4435.40666667,1832636.82000000
0.00025,0.00000047,0.00037037,0.00000095,0.99740609,0.00333333,7.78000000,7037.99666667,2709230.22000000,0.58605380,0.00266758,0.00530910,0.44603667,4124.64666667,1501803.95666667,2913.35333333,1207434.04333333
0.0005,0.00000000,0.00000000,0.00000000,0.99740308,0.00000000,15.94666667,7038.00000000,2709222.05333333,0.73176281,0.00265865,0.00529761,0.27849627,5150.14666667,1957915.40000000,1887.85333333,751322.60000000
0.001,0.00000095,0.00019110,0.00000189,0.99739730,0.00666667,31.67000000,7037.99333333,2709206.33000000,0.75397603,0.00231591,0.00461746,0.14742043,5306.48333333,2314109.91333333,1731.51666667,395128.08666667
0.0025,0.00000237,0.00020828,0.00000468,0.99737945,0.01666667,80.16000000,7037.98333333,2709157.84000000,0.75289239,0.00206359,0.00411585,0.05218516,5298.85666667,2572787.57000000,1739.14333333,136450.43000000
0.005,0.00000521,0.00023401,0.00001019,0.99735024,0.03666667,159.52333333,7037.96333333,2709078.47666667,0.75103959,0.00198022,0.00395000,0.01756471,5285.81666667,2666813.20333333,1752.18333333,42424.79666667
0.01,0.00000710,0.00015493,0.00001358,0.99729150,0.05000000,319.08333333,7037.95000000,2708918.91666667,0.74718054,0.00196175,0.00391322,0.01432566,5258.65666667,2675584.22333333,1779.34333333,33653.77666667
0.025,0.00001752,0.00015503,0.00003148,0.99711524,0.12333333,797.93333333,7037.87666667,2708440.06666667,0.73586814,0.00195877,0.00390715,0.02782256,5179.04000000,2638843.28000000,1858.96000000,70394.72000000
0.05,0.00003457,0.00015188,0.00005632,0.99682142,0.24333333,1596.13666667,7037.75666667,2707641.86333333,0.71716539,0.00195806,0.00390545,0.05211800,5047.41000000,2572718.54333333,1990.59000000,136519.45666667
0.1,0.00007862,0.00017347,0.00010820,0.99623449,0.55333333,3190.73000000,7037.44666667,2706047.27000000,0.67901392,0.00195507,0.00389891,0.10103243,4778.90000000,2439584.93666667,2259.10000000,269653.06333333
0.25,0.00016719,0.00014759,0.00015678,0.99447377,1.17666667,7973.93666667,7036.82333333,2701264.06333333,0.56617552,0.00195049,0.00388758,0.24822934,3984.74333333,2038963.34000000,3053.25666667,670274.66000000
0.5,0.00036279,0.00015997,0.00022204,0.99153474,2.55333333,15958.53000000,7035.44666667,2693279.47000000,0.37816472,0.00193851,0.00385725,0.49390781,2661.52333333,1370309.60000000,4376.47666667,1338928.40000000
1,0.00071043,0.00015667,0.00025672,0.98566309,5.00000000,31910.00000000,7033.00000000,2677328.00000000,0.00071043,0.00015667,0.00025672,0.98566309,5.00000000,31910.00000000,7033.00000000,2677328.00000000
