Attack: ARP

Sampling Rate,NS_Recall,NS_Precision,NS_F1,NS_Accuracy,NS_TP,NS_FP,NS_FN,NS_TN,WD_Recall,WD_Precision,WD_F1,WD_Accuracy,WD_TP,WD_FP,WD_FN,WD_TN
2.5e-06,0.00000239,0.54233333,0.00000478,0.53240233,2.73666667,2.28333333,1145269.26333333,1303992.71666667,0.41748581,0.49119347,0.44595477,0.52535462,478134.80333333,495396.07000000,667137.19666667,808598.93000000
5e-06,0.00000474,0.53709812,0.00000947,0.53240245,5.42333333,4.67666667,1145266.57666667,1303990.32333333,0.65438458,0.49046871,0.55691448,0.52059358,749448.34000000,778370.66666667,395823.66000000,525624.33333333
1e-05,0.00000976,0.54534939,0.00001952,0.53240291,11.18000000,9.31333333,1145260.82000000,1303985.68666667,0.88053260,0.49051289,0.62848225,0.51647736,1008449.32666667,1047453.37666667,136822.67333333,256541.62333333
2.5e-05,0.00002486,0.54530001,0.00004972,0.53240407,28.47333333,23.75666667,1145243.52666667,1303971.24333333,0.99480356,0.48895262,0.65556726,0.51119201,1139320.66666667,1191269.94333333,5951.33333333,112725.05666667
5e-05,0.00005019,0.55071896,0.00010036,0.53240646,57.47666667,46.89333333,1145214.52333333,1303948.10666667,0.99876485,0.48689498,0.65459732,0.50690481,1143857.41666667,1206307.18333333,1414.58333333,97687.81666667
0.0001,0.00009982,0.54894055,0.00019960,0.53241047,114.32000000,93.93666667,1145157.68000000,1303901.06333333,0.99877383,0.48257721,0.65065949,0.49814571,1143867.69666667,1227770.85333333,1404.30333333,76224.14666667
0.00025,0.00025039,0.54861994,0.00050054,0.53242289,286.76000000,235.95666667,1144985.24000000,1303759.04333333,0.99880020,0.47656901,0.64518278,0.48595670,1143897.90333333,1257655.20666667,1374.09666667,46339.79333333
0.0005,0.00049791,0.54623872,0.00099490,0.53244156,570.23666667,473.69333333,1144701.76333333,1303521.30666667,0.99883887,0.46995141,0.63915260,0.47253172,1143942.18666667,1290580.82666667,1329.81333333,13414.17333333
0.001,0.00100011,0.54751504,0.00199656,0.53248331,1145.39333333,946.58333333,1144126.60666667,1303048.41666667,0.99892178,0.46859620,0.63793337,0.46978065,1144037.14333333,1297413.89000000,1234.85666667,6581.11000000
0.0025,0.00249880,0.54714582,0.00497487,0.53260352,2861.80000000,2368.57666667,1142410.20000000,1301626.42333333,0.99910383,0.46854245,0.63792285,0.46967014,1144245.64000000,1297893.05666667,1026.36000000,6101.94333333
0.005,0.00499835,0.54712070,0.00990620,0.53280474,5724.47333333,4738.40000000,1139547.52666667,1299256.60000000,0.99930324,0.46870433,0.63811354,0.47000206,1144474.02333333,1297308.48000000,797.97666667,6686.52000000
0.01,0.00999677,0.54717020,0.01963480,0.53320809,11449.01666667,9475.03333333,1133822.98333333,1294519.96666667,0.99950118,0.46903908,0.63846409,0.47070136,1144700.72000000,1295822.41666667,571.28000000,8172.58333333
0.025,0.02499244,0.54717918,0.04780154,0.53441740,28623.14666667,23687.25666667,1116648.85333333,1280307.74333333,0.99962589,0.47003140,0.63940833,0.47279757,1144843.54333333,1290831.05333333,428.45666667,13163.94666667
0.05,0.04999129,0.54720579,0.09161304,0.53643526,57253.62333333,47375.43666667,1088018.37666667,1256619.56333333,0.99971019,0.47171534,0.64098198,0.47634284,1144940.08333333,1282244.28333333,331.91666667,21750.71666667
0.1,0.10000115,0.54730471,0.16910428,0.54048532,114528.51666667,94730.65000000,1030743.48333333,1209264.35000000,0.99978780,0.47513737,0.64415003,0.48347631,1145028.97000000,1264861.39000000,243.03000000,39133.61000000
0.25,0.24992676,0.54714093,0.34312055,0.55254005,286234.11666667,236911.01333333,859037.88333333,1067083.98666667,0.99987019,0.48576771,0.65386680,0.50500580,1145123.33333333,1212224.29333333,148.66666667,91770.70666667
0.5,0.49990968,0.54720059,0.52248722,0.57272905,572532.56000000,473761.19333333,572739.44000000,830233.80666667,0.99986886,0.50463346,0.67074310,0.54098781,1145121.80666667,1124093.22333333,150.19333333,179901.77666667
1,0.99978258,0.54717118,0.70726382,0.61300708,1145023.00000000,947600.00000000,249.00000000,356395.00000000,0.99978258,0.54717118,0.70726382,0.61300708,1145023.00000000,947600.00000000,249.00000000,356395.00000000
