Attack: active_wiretap

Sampling Rate,NS_Recall,NS_Precision,NS_F1,NS_Accuracy,NS_TP,NS_FP,NS_FN,NS_TN,WD_Recall,WD_Precision,WD_F1,WD_Accuracy,WD_TP,WD_FP,WD_FN,WD_TN
2.5e-06,0.00000038,0.19944444,0.00000076,0.58482644,0.35000000,1.22666667,923215.65000000,1300471.77333333,0.06137635,0.19944097,0.09076439,0.53670665,56663.63000000,163667.96000000,866552.37000000,1136805.04000000
5e-06,0.00000079,0.21284127,0.00000159,0.58482596,0.73333333,2.68666667,923215.26666667,1300470.31333333,0.12093740,0.25609022,0.15973911,0.50202151,111651.34333333,295784.63000000,811564.65666667,1004688.37000000
1e-05,0.00000166,0.22489276,0.00000333,0.58482512,1.53666667,5.35333333,923214.46333333,1300467.64666667,0.18287870,0.25076206,0.20857807,0.44064749,168836.54333333,489446.56666667,754379.45666667,811026.43333333
2.5e-05,0.00000439,0.22962654,0.00000878,0.58482260,4.05333333,13.48000000,923211.94666667,1300459.52000000,0.29021250,0.27043354,0.27893054,0.38514208,267928.82333333,711965.61666667,655287.17666667,588507.38333333
5e-05,0.00000849,0.22379989,0.00001698,0.58481813,7.83666667,27.20333333,923208.16333333,1300445.79666667,0.36986925,0.30332908,0.33288526,0.38888849,341469.21333333,777175.16000000,581746.78666667,523297.84000000
0.0001,0.00001671,0.22010092,0.00003342,0.58480917,15.43000000,54.71333333,923200.57000000,1300418.28666667,0.41795149,0.32423278,0.36492474,0.39942788,385859.50000000,798129.12666667,537356.50000000,502343.87333333
0.00025,0.00004201,0.22188532,0.00008401,0.58478311,38.78666667,136.02333333,923177.21333333,1300336.97666667,0.46157126,0.34570049,0.39509423,0.41631698,426129.97000000,800843.49000000,497086.03000000,499629.51000000
0.0005,0.00008470,0.22409394,0.00016934,0.58474024,78.20000000,270.76000000,923137.80000000,1300202.24000000,0.49267868,0.36131714,0.41677461,0.42918577,454848.84000000,800946.17333333,468367.16000000,499526.82666667
0.001,0.00016725,0.22071242,0.00033424,0.58465111,154.40333333,545.15666667,923061.59666667,1299927.84333333,0.51406835,0.37177237,0.43144177,0.43806414,474596.12333333,800950.72333333,448619.87666667,499522.27666667
0.0025,0.00042224,0.22205915,0.00084288,0.58438789,389.82000000,1365.89333333,922826.18000000,1299107.10666667,0.52787313,0.37777174,0.44030013,0.44366178,487340.92000000,801248.11000000,435875.08000000,499224.89000000
0.005,0.00084675,0.22309832,0.00168710,0.58395413,781.73333333,2722.35000000,922434.26666667,1297750.65000000,0.53679040,0.38166032,0.44601287,0.44750744,495573.48666667,800929.10666667,427642.51333333,499543.89333333
0.01,0.00168361,0.22168727,0.00334183,0.58307179,1554.33333333,5457.01666667,921661.66666667,1295015.98333333,0.55649429,0.38988263,0.45835630,0.45557393,513764.43666667,801182.70000000,409451.56333333,499290.30000000
0.025,0.00421391,0.22203750,0.00827085,0.58044654,3890.35000000,13630.76666667,919325.65000000,1286842.23333333,0.59473457,0.40598366,0.48240479,0.47159790,549068.47000000,800854.40333333,374147.53000000,499618.59666667
0.05,0.00842645,0.22198955,0.01623657,0.57606425,7779.43666667,27264.70333333,915436.56333333,1273208.29666667,0.61427424,0.41422047,0.49470982,0.47965221,567107.81000000,800983.46666667,356108.19000000,499489.53333333
0.1,0.01684569,0.22192365,0.03131437,0.56729982,15552.21333333,54526.84333333,907663.78666667,1245946.15666667,0.60477675,0.41193264,0.49003170,0.47742553,558339.57000000,797166.67333333,364876.43000000,503306.32666667
0.25,0.04215550,0.22214899,0.07086370,0.54104634,38918.63000000,136272.83000000,884297.37000000,1164200.17000000,0.53357896,0.39105179,0.45131780,0.46132559,492608.63333333,767236.98666667,430607.36666667,533236.01333333
0.5,0.08429154,0.22211783,0.12220677,0.49726382,77819.29666667,272532.20333333,845396.70333333,1027940.79666667,0.41194464,0.35231758,0.37980420,0.44144093,380313.88666667,699159.53666667,542902.11333333,601313.46333333
1,0.16859868,0.22212502,0.19169549,0.40969488,155653.00000000,545092.00000000,767563.00000000,755381.00000000,0.16859868,0.22212502,0.19169549,0.40969488,155653.00000000,545092.00000000,767563.00000000,755381.00000000
