Attack: Fuzzing

Sampling Rate,NS_Recall,NS_Precision,NS_F1,NS_Accuracy,NS_TP,NS_FP,NS_FN,NS_TN,WD_Recall,WD_Precision,WD_F1,WD_Accuracy,WD_TP,WD_FP,WD_FN,WD_TN
2.5e-06,0.00000009,0.02222222,0.00000018,0.80230418,0.04000000,0.67666667,432782.96000000,1756355.32333333,0.00460509,0.02428093,0.00459856,0.73374920,1993.00333333,152070.00333333,430789.99666667,1604285.99666667
5e-06,0.00000013,0.03500000,0.00000026,0.80230393,0.05666667,1.22333333,432782.94333333,1756354.77666667,0.01252568,0.02679346,0.01125789,0.67576583,5420.90000000,282431.56333333,427362.10000000,1473924.43666667
1e-05,0.00000040,0.06517063,0.00000080,0.80230336,0.17333333,2.60000000,432782.82666667,1756353.40000000,0.03034249,0.02758935,0.02197733,0.61880244,13131.71333333,414843.16000000,419651.28666667,1341512.84000000
2.5e-05,0.00000080,0.04772160,0.00000160,0.80230154,0.34666667,6.75000000,432782.65333333,1756349.25000000,0.07923711,0.04172141,0.05390345,0.56345963,34292.47333333,557157.02000000,398490.52666667,1199198.98000000
5e-05,0.00000181,0.05534439,0.00000362,0.80229871,0.78333333,13.38666667,432782.21666667,1756342.61333333,0.12893345,0.05938335,0.07983890,0.51088999,55800.20333333,693746.99666667,376982.79666667,1062609.00333333
0.0001,0.00000338,0.05161764,0.00000676,0.80229276,1.46333333,27.09333333,432781.53666667,1756328.90666667,0.24904695,0.09344676,0.13378446,0.43811026,107783.28666667,905055.02333333,324999.71333333,851300.97666667
0.00025,0.00000840,0.05106924,0.00001679,0.80227530,3.63333333,67.49333333,432779.36666667,1756288.50666667,0.54956466,0.14714685,0.23083271,0.33139261,237842.24333333,1268733.76666667,194940.75666667,487622.23333333
0.0005,0.00001675,0.05122355,0.00003349,0.80224634,7.25000000,134.49333333,432775.75000000,1756221.50666667,0.77041131,0.18122306,0.29276674,0.29019719,333420.91666667,1454494.92666667,99362.08333333,301861.07333333
0.001,0.00003292,0.04993700,0.00006579,0.80218723,14.24666667,270.90000000,432768.75333333,1756085.10000000,0.94150603,0.20649782,0.33852267,0.27758967,407467.80333333,1556141.43333333,25315.19666667,200214.56666667
0.0025,0.00008111,0.04941144,0.00016196,0.80201196,35.10333333,675.44000000,432747.89666667,1755680.56000000,0.99225413,0.21288513,0.35055128,0.27303066,429430.72000000,1588084.66333333,3352.28000000,168271.33666667
0.005,0.00016476,0.05024112,0.00032843,0.80172133,71.30333333,1347.86333333,432711.69666667,1755008.13666667,0.98984987,0.21218461,0.34944075,0.27107315,428390.19666667,1591329.38666667,4392.80333333,165026.61333333
0.01,0.00032152,0.04893068,0.00063885,0.80113260,139.15000000,2704.52333333,432643.85000000,1753651.47666667,0.98504233,0.21206629,0.34897972,0.27314143,426309.57666667,1584721.01666667,6473.42333333,171634.98333333
0.025,0.00081058,0.04938445,0.00159498,0.79938033,350.80666667,6752.16000000,432432.19333333,1749603.84000000,0.97059935,0.20983998,0.34503173,0.27081035,420058.89666667,1583573.40333333,12724.10333333,172782.59666667
0.05,0.00162056,0.04937843,0.00313812,0.79645717,701.35000000,13501.88666667,432081.65000000,1742854.11333333,0.94654752,0.20606110,0.33837397,0.26714313,409649.67666667,1581192.23666667,23133.32333333,175163.76333333
0.1,0.00324240,0.04940095,0.00608538,0.79061084,1403.25666667,27002.24000000,431379.74333333,1729353.76000000,0.89845564,0.20064436,0.32796470,0.27109670,388836.32666667,1551723.97333333,43946.67333333,204632.02666667
0.25,0.00809685,0.04931898,0.01391003,0.77304972,3504.18000000,67546.88333333,429278.82000000,1688809.11666667,0.75412173,0.19175564,0.30575075,0.32281508,326371.06333333,1376039.98000000,106411.93666667,380316.02000000
0.5,0.01621535,0.04939943,0.02441610,0.74382248,7017.72666667,135042.92000000,425765.27333333,1621313.08000000,0.51359832,0.18023653,0.26683347,0.44202753,222276.62000000,1010972.92333333,210506.38000000,745383.07666667
1,0.03242040,0.04938337,0.03914315,0.68533519,14031.00000000,270093.00000000,418752.00000000,1486263.00000000,0.03242040,0.04938337,0.03914315,0.68533519,14031.00000000,270093.00000000,418752.00000000,1486263.00000000
